,date,latitude,longitude,numberofcases,comments,x_coord,y_coord,region
0,2016-01-01,1.3465716,103.9336374,1,Tampines Avenue 1 (Blk 890B),39164.4195231,36522.8653841,EAST
1,2016-01-01,1.3497514,103.9344215,2,Tampines Avenue 3,39251.6667323,36874.475575,EAST
2,2016-01-01,1.3516172,103.94133,81,Tampines Avenue 4,40020.4975967,37080.819623,EAST
3,2016-01-01,1.34703,103.937957,2,Tampines Avenue 4 (Blk 801),39645.1418878,36573.5732011,EAST
4,2016-01-01,1.345189,103.93787,3,Tampines Avenue 4 (Blk 803),39635.4684596,36370.0040751,EAST
5,2016-01-01,1.3457286,103.9374662,8,Tampines Avenue 4 (Blk 804),39590.5273333,36429.6684626,EAST
6,2016-01-01,1.346217,103.937214,5,Tampines Avenue 4 (Blk 805),39562.457903,36483.6721309,EAST
7,2016-01-01,1.3455016,103.936761,9,Tampines Avenue 4 (Blk 806),39512.0472704,36404.5645834,EAST
8,2016-01-01,1.345854,103.936136,4,Tampines Avenue 4 (Blk 807),39442.4898884,36443.5282977,EAST
9,2016-01-01,1.346469,103.9360159,4,Tampines Avenue 4 (Blk 808),39429.1211963,36511.5314011,EAST
10,2016-01-01,1.359961,103.885823,1,Tampines Avenue 4 (Blk 809),33843.1680011,38003.2307722,NORTH-EAST
11,2016-01-01,1.359961,103.885823,5,Tampines Avenue 4 (Blk 810),33843.1680011,38003.2307722,NORTH-EAST
12,2016-01-01,1.346566,103.937215,5,Tampines Avenue 4 (Blk 811),39562.5675481,36522.2628356,EAST
13,2016-01-01,1.346973,103.937397,3,Tampines Avenue 4 (Blk 812),39582.8202502,36567.2677539,EAST
14,2016-01-01,1.3671771,103.9278919,2,Tampines Avenue 4 (Blk 816),38524.9188637,38801.2940221,EAST
15,2016-01-01,1.3488598,103.9348281,1,Tampines Street 81 (Blk 813),39296.9209459,36775.8887306,EAST
16,2016-01-01,1.3488598,103.9348281,6,Tampines Street 81 (Blk 814),39296.9209459,36775.8887306,EAST
17,2016-01-01,1.3488598,103.9348281,4,Tampines Street 81 (Blk 818),39296.9209459,36775.8887306,EAST
18,2016-01-01,1.3488598,103.9348281,3,Tampines Street 81 (Blk 819),39296.9209459,36775.8887306,EAST
19,2016-01-01,1.347988,103.936179,1,Tampines Street 81 (Blk 820),39447.2653663,36679.4956955,EAST
20,2016-01-01,1.347971,103.9318569,3,Tampines Street 81 (Blk 894A),38966.2629837,36677.5960351,EAST
21,2016-01-01,1.3476655,103.9324465,1,Tampines Sterret 81 (Blk 895A),39031.8803864,36643.8180176,EAST
22,2016-01-01,1.3465454,103.935472,2,Tampines Street 81 (Blk 899),39368.5906804,36519.9767938,EAST
23,2016-01-01,1.3476439,103.9404331,1,Tampines Street 91 (Blk 927),39920.7019056,36641.4672141,EAST
24,2016-01-01,1.3463015,103.9396416,2,Tampines Street 91 (Blk 929),39832.6230572,36493.0273675,EAST
